PREV_DATE,CURR_DATE,PREV_STATUS,CURR_STATUS,transitions
2025-01-01,2025-01-01,arrears,arrears,51
2025-01-01,2025-01-01,closed,closed,20
2025-01-01,2025-01-01,current,current,245
2025-01-01,2025-01-01,default,default,17
2025-01-01,2025-03-30,arrears,arrears,292
2025-01-01,2025-03-30,arrears,current,21
2025-01-01,2025-03-30,arrears,default,942
2025-01-01,2025-03-30,closed,closed,1265
2025-01-01,2025-03-30,current,arrears,611
2025-01-01,2025-03-30,current,closed,482
2025-01-01,2025-03-30,current,current,2809
2025-01-01,2025-03-30,default,arrears,1
2025-01-01,2025-03-30,default,default,2512
2025-03-30,2025-03-30,arrears,arrears,167
2025-03-30,2025-03-30,closed,closed,30
2025-03-30,2025-03-30,current,current,485
2025-03-30,2025-03-30,default,default,59
2025-03-30,2025-06-30,arrears,arrears,307
2025-03-30,2025-06-30,arrears,current,69
2025-03-30,2025-06-30,arrears,default,1038
2025-03-30,2025-06-30,closed,closed,1924
2025-03-30,2025-06-30,current,arrears,551
2025-03-30,2025-06-30,current,closed,784
2025-03-30,2025-06-30,current,current,2880
2025-03-30,2025-06-30,current,default,17
2025-03-30,2025-06-30,default,arrears,1
2025-03-30,2025-06-30,default,default,3453
2025-06-30,2025-06-30,arrears,arrears,686
2025-06-30,2025-06-30,closed,closed,101
2025-06-30,2025-06-30,current,current,2278
2025-06-30,2025-06-30,default,default,168
2025-06-30,2025-09-30,arrears,arrears,327
2025-06-30,2025-09-30,arrears,current,101
2025-06-30,2025-09-30,arrears,default,1097
2025-06-30,2025-09-30,closed,closed,2882
2025-06-30,2025-09-30,current,arrears,828
2025-06-30,2025-09-30,current,closed,998
2025-06-30,2025-09-30,current,current,3123
2025-06-30,2025-09-30,current,default,25
2025-06-30,2025-09-30,default,arrears,3
2025-06-30,2025-09-30,default,current,1
2025-06-30,2025-09-30,default,default,4506
2025-09-30,2025-09-30,arrears,arrears,949
2025-09-30,2025-09-30,closed,closed,208
2025-09-30,2025-09-30,current,current,2663
2025-09-30,2025-09-30,default,default,626
2025-09-30,2025-12-30,arrears,arrears,535
2025-09-30,2025-12-30,arrears,current,142
2025-09-30,2025-12-30,arrears,default,1104
2025-09-30,2025-12-30,closed,closed,4048
2025-09-30,2025-12-30,current,arrears,1096
2025-09-30,2025-12-30,current,closed,1182
2025-09-30,2025-12-30,current,current,3101
2025-09-30,2025-12-30,current,default,22
2025-09-30,2025-12-30,default,arrears,4
2025-09-30,2025-12-30,default,default,5630
2025-12-30,2025-12-30,arrears,arrears,1555
2025-12-30,2025-12-30,closed,closed,485
2025-12-30,2025-12-30,current,current,3557
2025-12-30,2025-12-30,default,default,1188
